title,title_link,author,publisher,publication_date,#pages,reading_age,average_rating,sales_rank
The Bottle Imp,https://www.amazon.com/The-Bottle-Imp/dp/8742973910/ref=sr_1_5?keywords=The+Bottle+Imp+by+Robert+Louis+Stevenson&qid=1697062913&sr=8-5,Robert Louis Er A - Stevenson,Grafisk Forlag.,"January 1, 1967",,,4.4,37970
When Nietzsche Wept: A Novel Of Obsession,https://www.amazon.com/When-Nietzsche-Wept-Novel-Obsession/dp/0062009303/ref=sr_1_1?keywords=When+Nietzsche+Wept+by+Irvin+D.+Yalom&qid=1697049956&sr=8-1,Irvin D. Yalom,Harper Perennial Modern Classics; Reprint edition,"November 10, 2020",352.0,,1.4,84843
Black And Blue: A Novel (Random House Reader'S Circle),https://www.amazon.com/Black-Blue-Random-Readers-Circle/dp/0812980492/ref=sr_1_1?keywords=Black+And+Blue+by+Anna+Quindlen&qid=1696979633&sr=8-1,Anna Quindlen,Random House Trade Paperbacks,"March 30, 2010",320.0,,2.3,42068
Gray Mountain: A Novel,https://www.amazon.com/Gray-Mountain-Novel-John-Grisham/dp/0345543254/ref=sr_1_1?keywords=Gray+Mountain&qid=1678629277&s=books&sr=1-1,John Grisham,Vintage; 2014th edition,"August 18, 2015",480.0,,4.3,53201
Running Man,https://www.amazon.com/Running-man/dp/1742990428/ref=sr_1_1?keywords=The+Running+Man+by+Michael+Gerard+Bauer&qid=1696981136&sr=8-1,Michael Gerard Bauer,J'ai lu; 10th edition,"January 1, 2000",0.0,,4.5,78966
Fiela Se Kind (Afrikaans Edition),https://www.amazon.com/Fiela-kind-Afrikaans-Dalene-Matthee/dp/0624088405/ref=sr_1_1?keywords=Fiela+Se+Kind+by+Dalene+Matthee&qid=1697053953&sr=8-1,Dalene Matthee,Tafelberg,"January 1, 1985",434.0,,2.6,48637
"Why Gender Matters, Second Edition: What Parents And Teachers Need To Know About The Emerging Science Of Sex Differences",https://www.amazon.com/Why-Gender-Matters-Second-Differences/dp/0451497775/ref=sr_1_1?keywords=Why+Gender+Matters+by+Leonard+Sax&qid=1697057452&sr=8-1,Leonard Sax M.D. Ph.D.,Harmony; Reprint edition,"August 29, 2017",400.0,,2.7,60634
The Lost Symbol (Robert Langdon),https://www.amazon.com/Lost-Symbol-Robert-Langdon/dp/0307950689/ref=sr_1_1?keywords=The+Lost+Symbol&qid=1673603584&qu=eyJxc2MiOiIzLjUxIiwicXNhIjoiMy4zNCIsInFzcCI6IjMuMDAifQ%3D%3D&s=books&sr=1-1,Dan Brown,Anchor; Reprint edition,"Illustrated, May 1, 2012",624.0,,3.1,16550
Selection Day: A Novel,https://www.amazon.com/Selection-Day-Novel-Aravind-Adiga/dp/1501150847/ref=sr_1_1?keywords=Selection+Day+by+Aravind+Adiga&qid=1696962211&sr=8-1,Aravind Adiga,Scribner; Reprint edition,"June 6, 2017",304.0,,4.6,59004
Boot Camp,https://www.amazon.com/Boot-Camp-Todd-Strasser/dp/1442433582/ref=sr_1_1?keywords=Boot+Camp+by+Todd+Strasser&qid=1696988443&sr=8-1,Todd Strasser,S&S Books for Young Readers; Reprint edition,"March 6, 2012",272.0,12,3.4,6203
Moth Smoke,https://www.amazon.com/Moth-Smoke-Mohsin-Hamid/dp/1594486603/ref=sr_1_1?keywords=Moth+Smoke+by+Mohsin+Hamid&qid=1697028099&sr=8-1,Mohsin Hamid,Riverhead Books; Reprint edition,"December 4, 2012",288.0,,4.0,62734
Secret Story Of Sonia Rodriguez,https://www.amazon.com/Secret-Story-Sonia-Rodriguez/dp/1423110722/ref=sr_1_1?keywords=The+Secret+Story+Of+Sonia+Rodriguez+by+Alan+Sitomer&qid=1697056727&sr=8-1,Alan Lawrence Sitomer,LBYR Plus; Reprint edition,"Illustrated, February 9, 2010",319.0,10,1.2,73120
The Impossible Will Take A Little While: A Citizen'S Guide To Hope In A Time Of Fear,https://www.amazon.com/Impossible-Will-Take-Little-While/dp/0465031730/ref=sr_1_1?crid=2HAEP6AKJZHES&keywords=the+impossible+will+take+a+little+while+loeb&qid=1681892281&sprefix=the+impossible+will+take+a+little+w%2Caps%2C544&sr=8-1,Paul Rogat Loeb,Basic Books; 2nd edition,"April 29, 2014",496.0,13,1.1,44107
The Pilgrim'S Progress (Penguin Classics),https://www.amazon.com/Pilgrims-Progress-Penguin-Classics/dp/0141439718/ref=sr_1_10?keywords=The+Pilgrim%27s+Progress+by+John+Bunyan&qid=1697040466&sr=8-10,John Bunyan,Penguin Classics; Illustrated edition,"Illustrated, January 27, 2009",384.0,,2.8,62493
