title,title_link,author,publisher,publication_date,#pages,reading_age,average_rating,sales_rank
The Wreckers (The High Seas Trilogy),https://www.amazon.com/Wreckers-High-Seas-Trilogy/dp/0440415454/ref=sr_1_1?keywords=The+Wreckers+by+Iain+Lawrence&qid=1696961120&sr=8-1,Iain Lawrence,Yearling; First Edition Thus,"November 9, 1999",224.0,10,3.9,13058
The Couple Next Door: A Novel,https://www.amazon.com/Couple-Next-Door-Novel/dp/0525505318/ref=sr_1_1?keywords=The+Couple+Next+Door+by+Shari+Lapena&qid=1697005273&sr=8-1,Shari Lapena,Penguin Books; Reprint edition,"May 30, 2017",336.0,,1.6,36492
The Sacred Lies Of Minnow Bly,https://www.amazon.com/Sacred-Lies-Minnow-Bly/dp/0147510163/ref=sr_1_1?keywords=The+Sacred+Lies+of+Minnow+Bly&qid=1680196190&s=books&sr=1-1,Stephanie Oakes,Speak; Reprint edition,"November 1, 2016",416.0,14,2.1,62344
To Say Nothing Of The Dog: A Novel Of The Oxford Time Travel Series,https://www.amazon.com/Say-Nothing-Dog-Connie-Willis/dp/0553575384/ref=sr_1_1?keywords=To+Say+Nothing+of+the+Dog+by+Connie+Willis&qid=1697009828&sr=8-1,Connie Willis,Del Rey,"October 31, 2023",608.0,,2.3,60339
Women Of The Silk: A Novel,https://www.amazon.com/Women-Silk-Novel-Gail-Tsukiyama/dp/0312099436/ref=sr_1_1?keywords=Women+of+the+Silk+by+Gail+Tsukiyama&qid=1697056502&sr=8-1,Gail Tsukiyama,St. Martin's Griffin; Reprint edition,"October 15, 1993",278.0,,4.5,15217
Something Like Fate,https://www.amazon.com/Something-Like-Fate-Susane-Colasanti/dp/014241882X/ref=sr_1_1?keywords=something+like+fate+by+susan+colasanti&qid=1696984803&sr=8-1,Susane Colasanti,Speak; Reprint edition,"April 19, 2011",304.0,12,3.9,3502
Cosmopolitanism: Ethics In A World Of Strangers (Issues Of Our Time),https://www.amazon.com/Cosmopolitanism-Ethics-World-Strangers-Issues/dp/039332933X/ref=sr_1_1?keywords=Cosmopolitanism+by+Kwame+Anthony+Appiah&qid=1697014812&sr=8-1,Kwame Anthony Appiah,W. W. Norton & Company; Reprint edition,"Illustrated, February 17, 2007",224.0,,3.3,55807
'A New England Nun' And Other Stories,https://www.amazon.com/New-England-Nun-Other-Stories/dp/1537485385/ref=sr_1_2?keywords=A+New+England+Nun+and+Other+Stories+by+Mary+Eleanor+Wilkins+Freeman&qid=1697028985&sr=8-2,Mary Eleanor Wilkins Freeman,CreateSpace Independent Publishing Platform,"September 8, 2016",320.0,,4.0,77133
A River Sutra,https://www.amazon.com/River-Sutra-Gita-Mehta/dp/0679752471/ref=sr_1_1?keywords=A+River+Sutra+by+Gita+Mehta&qid=1697060544&sr=8-1,Gita Mehta,Vintage; Reprint edition,"June 28, 1994",304.0,,3.2,25669
Legacy Of Ashes: The History Of The Cia,https://www.amazon.com/Legacy-Ashes-History-Tim-Weiner/dp/0307389006/ref=sr_1_1?keywords=Legacy+Of+Ashes+by+Tim+Weiner&qid=1697058591&sr=8-1,Tim Weiner,Anchor; Reprint edition,"May 20, 2008",848.0,,2.2,65818
The Admirable Crichton,https://www.amazon.com/Admirable-Crichton-J-M-Barrie/dp/1480286966/ref=sr_1_5?keywords=The+Admirable+Crichton+by+J.+M.+Barrie&qid=1697053644&sr=8-5,J. M. Barrie,CreateSpace Independent Publishing Platform,"November 10, 2012",116.0,,4.9,89753
Looking For Alibrandi,https://www.amazon.com/Looking-Alibrandi-Melina-Marchetta/dp/0375836942/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=1679586564&sr=8-1,Melina Marchetta,Knopf Books for Young Readers,"May 9, 2006",320.0,12,5.0,77514
The Dying Sun,https://www.amazon.com/Dying-Sun-Gary-L-Blackwood/dp/0689314825/ref=sr_1_1?crid=3N4JXMEIDW4HX&keywords=The+Dying+Sun+Gary+L.+Blackwood&qid=1666729075&sprefix=the+dying+sun+gary+l.+blackwood%2Caps%2C542&sr=8-1,Gary L. Blackwood,Atheneum,"January 1, 1989",,11,3.4,99233
Sometimes A Great Notion (Penguin Classics),https://www.amazon.com/Sometimes-Great-Notion-audiobook/dp/B004QIBBKK/ref=sr_1_1?crid=1ZWGH890XD5EW&keywords=Sometimes+a+Great+Notion_Kesey&qid=1682646009&sprefix=sometimes+a+great+notion_kese%2Caps%2C544&sr=8-1,Ken Kesey,Penguin Classics,"August 29, 2006",736.0,,4.7,11575
No Stone Unturned: The True Story Of The World'S Premier Forensic Investigators,https://www.amazon.com/No-Stone-Unturned-Forensic-Investigators/dp/1948239523/ref=sr_1_1?keywords=No+Stone+Unturned+by+Steve+Jackson&qid=1697054216&sr=8-1,Steve Jackson,WildBlue Press,"November 20, 2019",480.0,,4.5,19619
Eight Keys,https://www.amazon.com/Eight-Keys-Suzanne-LaFleur/dp/0375872132/ref=sr_1_1?keywords=Eight+Keys+by+Suzanne+LaFleur&qid=1697012304&sr=8-1,Suzanne Lafleur,Yearling; Illustrated edition,"Illustrated, July 24, 2012",224.0,9,2.3,61959
Michael Vey: The Prisoner Of Cell 25 (Book 1),https://www.amazon.com/Michael-Vey-Prisoner-Cell-Book/dp/1442468122/ref=sr_1_4?keywords=Michael+Vey+by+Richard+Paul+Evans&qid=1697014066&sr=8-4,Richard Paul Evans,Simon Pulse/Mercury Ink; Reprint edition,"July 10, 2012",352.0,10,1.7,26511
"The Lemonade Crime (The Lemonade War Series, 2)",https://www.amazon.com/Lemonade-Crime-War/dp/0547722370/ref=sr_1_1?keywords=The+Lemonade+Crime+by+Jacqueline+Davies&qid=1697006662&sr=8-1,Jacqueline Davies,Clarion Books; Reprint edition,"October 11, 2022",160.0,8,1.0,46333
Fake Id,https://www.amazon.com/Fake-ID-Lamar-Giles/dp/0062121855/ref=sr_1_1?keywords=Fake+ID+by+Lamar+Giles&qid=1697005633&sr=8-1,Lamar Giles,Amistad Books for Young Readers; Reprint edition,"April 21, 2015",336.0,13,4.5,68017
Rear Window And Other Murderous Tales,https://www.amazon.com/Rear-Window-Other-Murderous-Tales/dp/1950369617/ref=sr_1_1?keywords=Rear+Window+by+Cornell+Woolrich&qid=1697043960&sr=8-1,Cornell Woolrich,Renaissance Literary & Talent,"June 24, 2022",297.0,,2.3,28760
Under The Tuscan Sun: At Home In Italy,https://www.amazon.com/Under-Tuscan-Sun-Home-Italy/dp/0767900383/ref=sr_1_1?keywords=Under+the+Tuscan+Sun+by+Frances+Mayes&qid=1697046888&sr=8-1,Frances Mayes,Crown; Reprint edition,"September 2, 1997",320.0,,1.5,43308
"Girl Waits With Gun (A Kopp Sisters Novel, 1)",https://www.amazon.com/Girl-Waits-Kopp-Sisters-Novel/dp/0544800834/ref=sr_1_1?keywords=Girl+Waits+with+Gun+by+Amy+Stewart&qid=1696973503&sr=8-1,Amy Stewart,Mariner Books; Reprint edition,"May 3, 2016",448.0,,3.8,29735
The Loaded Dog,https://www.amazon.com/Loaded-Dog-Henry-Lawson/dp/1502339064/ref=sr_1_1?keywords=The+Loaded+Dog+by+Henry+Lawson&qid=1697060238&sr=8-1,Henry Lawson,CreateSpace Independent Publishing Platform,"September 10, 2014",26.0,,2.4,45550
"One Thousand White Women: The Journals Of May Dodd (One Thousand White Women Series, 1)",https://www.amazon.com/One-Thousand-White-Women-Journals/dp/0312199430/ref=sr_1_1?keywords=One+Thousand+White+Women+by+Jim+Fergus&qid=1697033526&sr=8-1,Jim Fergus,St. Martin's Griffin; First Edition,"February 15, 1999",496.0,,3.1,76553
"The Way Of Kings: Book One Of The Stormlight Archive (The Stormlight Archive, 1)",https://www.amazon.com/Way-Kings-Book-Stormlight-Archive/dp/0765376679/ref=sr_1_1?keywords=The+Way+of+Kings+by+Brandon+Sanderson&qid=1697059929&sr=8-1,Brandon Sanderson,Tor Books; Reprint edition,"March 4, 2014",1008.0,,4.8,7225
It'S What I Do: A Photographer'S Life Of Love And War,https://www.amazon.com/Its-What-Do-Photographers-Life/dp/0143128418/ref=sr_1_1?keywords=It%27s+What+I+Do+by+Lynsey+Addario&qid=1697032233&sr=8-1,Lynsey Addario,Penguin Books; Reprint edition,"November 8, 2016",368.0,,4.1,46847
"Truthwitch (The Witchlands, 1)",https://www.amazon.com/Truthwitch-Witchlands-Novel-Susan-Dennard/dp/0765379295/ref=sr_1_1?keywords=Truthwitch+by+Susan+Dennard&qid=1697041710&sr=8-1,Susan Dennard,Tor Teen; Reprint edition,"January 10, 2017",432.0,13,1.8,59092
Good As Gone: Ein Mädchen Verschwindet. Eine Fremde Kehrt Zurück. - Roman,https://www.amazon.com/Good-Gone-M%C3%A4dchen-verschwindet-zur%C3%BCck-ebook/dp/B01NGTIZI9/ref=sr_1_2?crid=23600IDLXQ3LI&keywords=good+as+gone+gentry&qid=1682356565&s=instant-video&sprefix=good+as+gone_gentry%2Cinstant-video%2C384&sr=1-2,Amy Gentry,Penguin Verlag,"June 11, 2018",0.0,,2.6,28234
Laxdæla Saga: Translated From The Icelandic,https://www.amazon.com/Laxd%C3%A6la-saga-Translated-Icelandic/dp/B08ZD4MS2K/ref=sr_1_1?keywords=Laxdaela+Saga+by+Anonymous&qid=1697061134&sr=8-1,Anonymous,Independently published,"March 18, 2021",114.0,,1.6,5171
Bottle Factory Outing,https://www.amazon.com/Bottle-Factory-Outing-Beryl-Bainbridge/dp/0349123713/ref=sr_1_1?keywords=The+Bottle+Factory+Outing+by+Beryl+Bainbridge&qid=1697015374&sr=8-1,Beryl Bainbridge,Orbit & Abacus; 1st Edition Thus.,"January 1, 2001",200.0,,2.8,76721
Extra Credit,https://www.amazon.com/Extra-Credit-Andrew-Clements/dp/1416949313/ref=sr_1_1?keywords=Extra+Credit+by+Andrew+Clements&qid=1697021290&sr=8-1,Andrew Clements,Atheneum Books for Young Readers; Reprint edition,"Illustrated, February 1, 2011",224.0,9,1.6,51614
"The Ideal Team Player: How To Recognize And Cultivate The Three Essential Virtues [Jan 01, 2016] Lencioni, Patrick M.",https://www.amazon.com/Ideal-Team-Player-Recognize-Cultivate/dp/8126563877/ref=sr_1_4?keywords=The+Ideal+Team+Player+by+Patrick+M.+Lencioni&qid=1696978444&sr=8-4,Patrick M Lencioni,Wiley,"January 1, 2016",,,1.3,71598
When It Happens,https://www.amazon.com/When-Happens-Susane-Colasanti/dp/0142411558/ref=sr_1_1?keywords=when+it+happens+by+susan+colasanti&qid=1697002450&sr=8-1,Susane Colasanti,Speak; Reprint edition,"May 1, 2008",336.0,12,4.2,31775
"You Are Not So Smart: Why You Have Too Many Friends On Facebook, Why Your Memory Is Mostly Fiction, An D 46 Other Ways You'Re Deluding Yourself",https://www.amazon.com/You-Are-Not-So-Smart-audiobook/dp/B006L2JP5C/ref=sr_1_1?crid=36X9SC03U814J&keywords=You+Are+Not+So+Smart_McRaney&qid=1682089177&sprefix=you+are+not+so+smart_mcraney%2Caps%2C456&sr=8-1,David Mcraney,Avery; Reprint edition,"November 6, 2012",320.0,,3.2,12986
The Lost Symbol (Robert Langdon),https://www.amazon.com/Lost-Symbol-Robert-Langdon/dp/0307950689/ref=sr_1_1?keywords=The+Lost+Symbol&qid=1673603584&qu=eyJxc2MiOiIzLjUxIiwicXNhIjoiMy4zNCIsInFzcCI6IjMuMDAifQ%3D%3D&s=books&sr=1-1,Dan Brown,Anchor; Reprint edition,"Illustrated, May 1, 2012",624.0,,4.9,3853
"When Will There Be Good News? (Jackson Brodie, 3)",https://www.amazon.com/When-Will-There-Good-News/dp/0316012831/ref=sr_1_1?keywords=When+Will+There+Be+Good+News%3F+by+Kate+Atkinson&qid=1697008967&sr=8-1,Kate Atkinson,Back Bay Books; Reprint edition,"January 11, 2010",416.0,,2.6,89989
The Hamilton Affair: A Novel,https://www.amazon.com/Hamilton-Affair-Novel-Elizabeth-Cobbs/dp/1628728558/ref=sr_1_1?keywords=The+Hamilton+Affair+by+Elizabeth+Cobbs&qid=1696976066&sr=8-1,Elizabeth Cobbs,Arcade; Reprint edition,"June 6, 2017",433.0,,1.4,2961
The Bird Artist,https://www.amazon.com/Bird-Artist-Novel-Howard-Norman/dp/0312130279/ref=sr_1_1?keywords=The+Bird+Artist+by+Howard+Norman&qid=1697034071&sr=8-1,Howard Norman,Picador,"March 15, 1995",304.0,,2.2,89764
The Stories Of John Cheever,https://www.amazon.com/Stories-John-Cheever/dp/0375724427/ref=sr_1_3?crid=2Y235WN0WP5GF&keywords=The+Country+Husband+John+Cheever&qid=1666693434&sprefix=the+country+husband+john+cheever%2Caps%2C562&sr=8-3,John Cheever,Vintage; Reprint edition,"May 16, 2000",704.0,,2.8,71018
All Our Yesterdays,https://www.amazon.com/All-Our-Yesterdays-Cristin-Terrill/dp/B093RWX7ZQ/ref=sr_1_1?keywords=All+Our+Yesterdays+by+Cristin+Terrill&qid=1697472373&sr=8-1,Cristin Terrill,Independently published,"September 3, 2013",330.0,,4.2,69724
The Creative Habit: Learn It And Use It For Life (Learn In And Use It For Life),https://www.amazon.com/Creative-Habit-Learn-Use-Life/dp/0743235274/ref=sr_1_1?keywords=The+Creative+Habit+by+Twyla+Tharp&qid=1697029816&sr=8-1,Twyla Tharp,Simon & Schuster; Reprint edition,"Illustrated, January 6, 2006",256.0,,1.0,77090
Maggot Moon,https://www.amazon.com/Maggot-Moon-Sally-Gardner/dp/076367169X/ref=sr_1_1?keywords=Maggot+Moon+by+Sally+Gardner&qid=1697005856&sr=8-1,Sally Gardner,Candlewick; Illustrated edition,"Illustrated, September 9, 2014",288.0,12,2.7,42368
Ruby Holler,https://www.amazon.com/Ruby-Holler-Sharon-Creech/dp/0060560150/ref=sr_1_1?keywords=Ruby+Holler+by+Sharon+Creech&qid=1697009502&sr=8-1,Sharon Creech,HarperCollins; Reprint edition,"April 24, 2012",310.0,9,4.5,10492
A Reliable Wife,https://www.amazon.com/Reliable-Wife-Robert-Goolrick/dp/1565129776/ref=sr_1_1?keywords=A+Reliable+Wife+by+Robert+Goolrick&qid=1696982214&sr=8-1,Robert Goolrick,Algonquin Books; 1st edition,"January 5, 2010",320.0,,1.3,74003
The Oath: The Obama White House And The Supreme Court,https://www.amazon.com/Oath-Obama-White-House-Supreme/dp/0307390713/ref=sr_1_1?crid=3QCULX8RJVHF5&keywords=The+Oath+Jeffrey+Toobin&qid=1669823215&s=books&sprefix=the+oath+jeffrey+toobin%2Cstripbooks-intl-ship%2C289&sr=1-1,Jeffrey Toobin,Anchor; Reprint edition,"June 4, 2013",352.0,,4.0,26585
A Walk Across The Sun: A Novel. Corban Addison,https://www.amazon.com/walk-across-sun-novel-addison/dp/0857388215/ref=sr_1_2?keywords=A+Walk+Across+The+Sun+by+Corban+Addison&qid=1696981200&sr=8-2,Corban Addison,Quercus,"International Edition, April 1, 2014",528.0,,1.8,29672
Guerrilla Warfare: 9,https://www.amazon.com/Guerrilla-Warfare-Ernesto-Che-Guevara/dp/8027343070/ref=sr_1_15?keywords=Guerrilla+Warfare+by+Che+Guevara&qid=1697049325&sr=8-15,Ernesto Che Guevara,e-artnow,"July 3, 2022",80.0,,2.1,11767
How To Be Black,https://www.amazon.com/How-Be-Black-Baratunde-Thurston/dp/0062003224/ref=sr_1_1?keywords=How+to+Be+Black+by+Baratunde+Thurston&qid=1697007945&sr=8-1,Baratunde Thurston,Harper Paperbacks; First Paperback Edition,"October 30, 2012",272.0,,2.9,10959
The Whiskey Rebels: A Novel (Random House Reader'S Circle),https://www.amazon.com/Whiskey-Rebels-Random-Readers-Circle/dp/0812974530/ref=sr_1_1?keywords=The+Whiskey+Rebels+by+David+Liss&qid=1697039594&sr=8-1,David Liss,Ballantine Books; Reprint edition,"June 16, 2009",560.0,,1.9,37884
Una Ofensa Mortal / A Great Reckoning (Inspector Gamache) (Spanish Edition),https://www.amazon.com/Una-ofensa-mortal-Great-Reckoning/dp/B09X5ZQKFK/ref=sr_1_2?crid=1WJ34X4Z5F8W0&keywords=A+Great+Reckoning+Louise+Penny&qid=1666823073&qu=eyJxc2MiOiIxLjU1IiwicXNhIjoiMS40NiIsInFzcCI6IjEuNDYifQ%3D%3D&sprefix=a+great+reckoning+louise+penny%2Caps%2C490&sr=8-2,Louise Penny,Salamandra; 001 edition,"July 12, 2022",528.0,,3.4,9971
Blood In The Water: The Attica Prison Uprising Of 1971 And Its Legacy,https://www.amazon.com/Blood-Water-Attica-Prison-Uprising/dp/1400078245/ref=sr_1_1?keywords=Blood+in+the+Water+by+Heather+Ann+Thompson&qid=1697481991&sr=8-1,Heather Ann Thompson,Vintage; Reprint edition,"Illustrated, August 22, 2017",752.0,,2.4,23286
Reached,https://www.amazon.com/Reached-Ally-Condie/dp/0142425990/ref=sr_1_1?keywords=Reached+by+Ally+Condie&qid=1697006323&sr=8-1,Ally Condie,Penguin Books; Reprint edition,"January 1, 2013",544.0,12,1.0,92664
Wish You Well,https://www.amazon.com/Wish-You-Well-David-Baldacci/dp/0446699489/ref=sr_1_1?keywords=Wish+You+Well+by+David+Baldacci&qid=1696989202&sr=8-1,David Baldacci,Grand Central Publishing; Reprint edition,"April 3, 2007",432.0,,1.6,41656
