title,title_link,author,publisher,publication_date,#pages,reading_age,average_rating,sales_rank
Anything But Typical,https://www.amazon.com/Anything-Typical-Nora-Raleigh-Baskin/dp/1416995005/ref=sr_1_1?keywords=Anything+But+Typical+by+Nora+Raleigh+Baskin&qid=1697472538&sr=8-1,Nora Raleigh Baskin,S&S Books for Young Readers; Reprint edition,"March 9, 2010",224.0,10,3.7,20637
One For The Murphys,https://www.amazon.com/One-Murphys-Lynda-Mullaly-Hunt/dp/0142426520/ref=sr_1_1?keywords=One+for+the+Murphys+by+Lynda+Mullaly+Hunt&qid=1697015195&sr=8-1,Lynda Mullaly Hunt,Nancy Paulsen Books; Reprint edition,"May 16, 2013",256.0,10,3.2,79343
Island Of A Thousand Mirrors: A Novel,https://www.amazon.com/Island-Thousand-Mirrors-Nayomi-Munaweera/dp/1250051878/ref=sr_1_1?keywords=Island+of+a+Thousand+Mirrors+by+Nayomi+Munaweera&qid=1697013383&sr=8-1,Nayomi Munaweera,St. Martin's Griffin; Reprint edition,"Illustrated, January 5, 2016",288.0,,3.2,61686
The Mystic Masseur,https://www.amazon.com/Mystic-Masseur-V-S-Naipaul/dp/037570714X/ref=sr_1_1?keywords=The+Mystic+Masseur+by+V.+S.+Naipaul&qid=1697053327&sr=8-1,V. S. Naipaul,Vintage; Reprint edition,"January 8, 2002",224.0,,4.1,7130
Fatherless America: Confronting Our Most Urgent Social Problem,https://www.amazon.com/Fatherless-America-Confronting-Urgent-Problem/dp/006092683X/ref=sr_1_1?keywords=Fatherless+America+by+David+Blankenhorn&qid=1697044997&sr=8-1,David Blankenhorn,Harper Perennial,"January 5, 1996",336.0,,1.6,81561
A Good Man Is Hard To Find And Other Stories,https://www.amazon.com/Good-Hard-Find-Other-Stories/dp/0358139562/ref=sr_1_1?keywords=A+Good+Man+is+Hard+to+Find+by+Flannery+O%27Connor&qid=1697003495&sr=8-1,Flannery O'Connor,Mariner Books Classics,"December 10, 2019",288.0,14,4.2,90519
Leaving The Atocha Station,https://www.amazon.com/Leaving-Atocha-Station-Ben-Lerner/dp/1566892740/ref=sr_1_1?keywords=Leaving+the+Atocha+Station+by+Ben+Lerner&qid=1696976224&sr=8-1,Ben Lerner,Coffee House Press; Second Printing edition,"August 23, 2011",186.0,,3.0,23662
Banker To The Poor: Micro-Lending And The Battle Against World Poverty,https://www.amazon.com/Banker-Poor-Micro-Lending-Against-Poverty/dp/1586481983/ref=sr_1_1?keywords=Banker+to+the+Poor+by+Muhammad+Yunus&qid=1696997212&sr=8-1,Muhammad Yunus,PublicAffairs; Later Printing edition,"January 8, 2008",273.0,,3.9,37312
Say What You Will,https://www.amazon.com/Say-What-Will-Cammie-McGovern/dp/0062271113/ref=sr_1_1?keywords=Say+What+You+Will+by+Cammie+McGovern&qid=1696977873&sr=8-1,Cammie Mcgovern,HarperTeen; Reprint edition,"May 5, 2015",368.0,14,4.9,73247
League Of Dragons: Book Nine Of Temeraire,https://www.amazon.com/League-Dragons-Book-Nine-Temeraire/dp/0593359623/ref=sr_1_1?keywords=League+of+Dragons+by+Naomi+Novik&qid=1697020617&sr=8-1,Naomi Novik,Del Rey,"November 8, 2022",416.0,,1.6,28888
