title,title_link,author,publisher,publication_date,#pages,reading_age,average_rating,sales_rank
Criss Cross: Novel-Ties Study Guide,https://www.amazon.com/Criss-Cross-Novel-Ties-Study-Guide/dp/0767535464/ref=sr_1_1?keywords=Criss+Cross+by+Lynne+Rae+Perkins&qid=1697006001&sr=8-1,Lynne Rae Perkins,Learning Links,"January 1, 2006",27.0,,1.1,40383
On Dragonwings (Dragonsdawn / Dragonseye / Moreta) (Pern),https://www.amazon.com/Dragonwings-Pern-Dragons-Anne-McCaffrey-ebook/dp/B0067AN1YO/ref=sr_1_2?crid=8KL9HF2LKTJ5&keywords=Dragonsdawn+Anne+McCaffrey&qid=1666708972&qu=eyJxc2MiOiIwLjAwIiwicXNhIjoiMC4wMCIsInFzcCI6IjAuMDAifQ%3D%3D&sprefix=dragonsdawn+anne+mccaffrey%2Caps%2C502&sr=8-2,Anne Mccaffrey,Del Rey; 1st edition,"September 30, 2003",912.0,,1.2,30941
Rise Of The Robots: Technology And The Threat Of A Jobless Future,https://www.amazon.com/Rise-Robots-Technology-Threat-Jobless/dp/0465097537/ref=sr_1_1?keywords=Rise+of+the+Robots+by+Martin+Ford&qid=1696973967&sr=8-1,Martin Ford,Basic Books; Reprint edition,"Illustrated, July 12, 2016",368.0,,1.9,55995
Three Essays On The Theory Of Sexuality,https://www.amazon.com/Three-Essays-Theory-Sexuality-Sigmund/dp/0465097081/ref=sr_1_3?keywords=Three+Essays+on+the+Theory+of+Sexuality+by+Sigmund+Freud&qid=1696974099&sr=8-3,"Sigmund Freud, James Strachey, Steven Marcus",Basic Books; Revised edition,"February 18, 2000",192.0,,3.9,21345
Le Cid: Nouveau Programme (Classiques & Cie Collège (27)) (French Edition),https://www.amazon.com/Le-Cid/dp/2401028188/ref=sr_1_10?keywords=Le+Cid+by+Pierre+Corneille&qid=1697029501&sr=8-10,Pierre Corneille,HATIER,"April 12, 2017",196.0,,1.9,72212
The Ugly Little Boy,https://www.amazon.com/Ugly-Little-Widget-Wadget-Doubles/dp/0812559665/ref=sr_1_1?keywords=The+Ugly+Little+Boy+by+Isaac+Asimov&qid=1697004981&sr=8-1,Isaac Asimov,Bantam Books,"August 1, 1993",387.0,,2.5,95918
See You In The Cosmos,https://www.amazon.com/See-You-Cosmos-Jack-Cheng/dp/0399186387/ref=sr_1_1?keywords=See+You+in+the+Cosmos+by+Jack+Cheng&qid=1697002548&sr=8-1,Jack Cheng,Puffin Books; Reprint edition,"May 15, 2018",320.0,10,5.0,6842
Deception Point,https://www.amazon.com/Deception-Point-Dan-Brown/dp/0743497465/ref=sr_1_1?keywords=Deception+Point+by+Dan+Brown&qid=1697023207&sr=8-1,Dan Brown,Washington Square Press,"May 23, 2006",464.0,,2.6,2297
"Rare John Updike / A&P Signed 1St Edition 1986 [Paperback] Updike, John",https://www.amazon.com/Rare-John-Updike-Signed-1986/dp/B0964D4WVV/ref=sr_1_3?keywords=A%26P+by+John+Updike&qid=1697003192&sr=8-3,John Updike,Generic,"January 1, 1986",0.0,,5.0,87542
Phantastes: A Faerie Romance For Men And Women,https://www.amazon.com/Phantastes-Faerie-Romance-Men-Women/dp/1530650550/ref=sr_1_1?keywords=Phantastes+George+MacDonald&qid=1682182084&s=books&sr=1-1,George Macdonald,CreateSpace Independent Publishing Platform,"March 20, 2016",154.0,,4.6,45359
Call Me By Your Name: A Novel,https://www.amazon.com/Call-Me-by-Your-Name-Armie-Hammer-audiobook/dp/B06ZZZXQ9G/ref=sr_1_1?crid=31YMNQHLTFDNA&keywords=call+me+by+your+name+aciman&qid=1682982823&s=audible&sprefix=call+me+by+your+name_aciman%2Caudible%2C539&sr=1-1,André Aciman,Picador; Media tie-in edition,"October 3, 2017",256.0,,4.6,45994
The Bean Trees: A Novel,https://www.amazon.com/Bean-Trees-Novel-Barbara-Kingsolver/dp/0061097314/ref=sr_1_1?keywords=The+Bean+Trees+by+Barbara+Kingsolver&qid=1696999583&sr=8-1,Barbara Kingsolver,Harper Perennial Modern Classics; Reprint edition,"Deckle Edge, May 19, 2009",256.0,,3.8,28347
The Beautiful Side Of Evil,https://www.amazon.com/Beautiful-Side-Evil-Johanna-Michaelsen/dp/0890813221/ref=sr_1_1?keywords=The+Beautiful+Side+of+Evil+by+Johanna+Michaelsen&qid=1697045321&sr=8-1,Johanna Michaelsen,Harvest House Publishers; First Thus edition,"July 1, 1982",222.0,,1.0,23487
